Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
3990,17666,6016.0,3282,11,1998,7,7660,75.0,33.833333333333336,32.0,23.0,22.0,Male
122,2276,1268.0,864,4,1991,2,886,89.0,27.0,29.0,28.0,29.0,Female
736,15785,7675.0,7251,10,1997,2,7374,33.0,38.2,13.0,42.0,13.0,Male
7110,16742,9518.0,9404,1,2009,9,114,55.0,47.0,32.8,26.0,47.0,Female
7123,18434,5642.0,2996,7,2005,10,5669,52.0,40.5,39.3,20.0,31.0,Female
1814,11874,3879.0,2749,8,2011,3,6181,31.0,53.0,31.666666666666668,40.0,32.0,Male
4194,23950,6752.0,5074,18,1993,4,13004,48.0,35.44444444444444,25.333333333333332,53.0,27.0,Male
1642,15580,4120.0,166,9,2002,4,9818,45.0,43.0,34.0,25.0,30.0,Female
756,14298,7768.0,4990,5,2008,4,5774,15.0,42.0,42.0,26.0,58.0,Female
8582,25982,11556.0,3928,6,1991,2,5844,12.0,46.5,34.5,60.0,56.0,Male
4582,14170,4810.0,2872,8,2008,7,4778,41.0,48.625,37.714285714285715,46.0,33.0,Male
8528,18744,9974.0,4878,2,1954,2,242,30.0,41.5,38.5,46.0,25.0,Male
5762,18687,4160.0,1362,10,2011,10,8765,41.0,39.2,46.5,26.0,53.0,Female
124,19058,8392.0,8268,7,2000,1,10542,37.0,44.57142857142857,24.0,28.0,24.0,Male
3750,7522,2812.0,755,3,2010,5,960,21.0,41.333333333333336,37.25,24.0,29.0,Male
1012,10942,2454.0,1442,12,1990,1,7476,57.0,49.083333333333336,71.0,40.0,71.0,Male
2930,13302,7126.0,5306,6,2008,4,3246,27.0,46.333333333333336,40.0,34.0,60.0,Male
931,7344,2263.0,1332,5,2012,1,4150,112.0,34.75,36.0,32.0,36.0,Male
6383,14014,5792.0,4385,3,2011,6,1839,40.0,28.5,25.666666666666668,31.0,29.0,Female
4648,18864,8572.0,3924,6,2008,1,5644,21.0,36.0,26.0,26.0,26.0,Male
3988,20454,7300.0,332,6,1999,9,9166,260.0,53.0,42.42857142857143,32.0,50.0,Female
999,9147,2891.0,2368,10,2013,3,5257,28.0,46.25,31.666666666666668,35.0,29.0,Male
467,7316,4570.0,4103,7,1998,1,2279,261.0,40.0,39.0,26.0,39.0,Male
1626,16402,9260.0,8044,5,2001,3,5516,347.0,45.0,25.0,29.0,28.0,Male
1721,9007,4414.0,3147,6,2012,3,2872,2.0,47.0,37.0,37.0,47.0,Female
340,8772,1776.0,1436,12,1993,1,6656,68.0,24.583333333333332,42.0,27.0,42.0,Male
1855,17065,8621.0,5090,6,2013,5,6589,89.0,45.0,47.25,54.0,57.0,Female
2916,16106,9764.0,8402,4,2004,5,3426,77.0,46.0,30.0,42.0,33.0,Male
6935,20247,8340.0,5121,8,2010,7,4972,34.0,27.0,24.285714285714285,22.0,26.0,Male
3910,15060,3438.0,1108,7,2000,6,7712,143.0,28.571428571428573,33.166666666666664,36.0,27.0,Female
1562,20310,8838.0,7276,13,1995,1,9910,200.0,42.9,23.0,58.0,23.0,Male
17658,33402,6130.0,3602,7,1995,8,9614,85.0,43.285714285714285,41.857142857142854,36.0,35.0,Female
7650,28612,10814.0,8732,10,2005,5,10148,34.0,34.857142857142854,28.8,34.0,36.0,Male
4496,10920,4839.0,1951,5,2012,5,1585,6.0,55.0,42.0,53.0,49.0,Male
13530,29954,11654.0,9494,6,2008,10,4770,185.0,45.666666666666664,46.142857142857146,43.0,54.0,Female
4280,14760,6746.0,2466,2,1989,1,3734,54.0,31.5,27.0,29.0,27.0,Male
4664,18248,5856.0,3038,12,1998,5,7728,185.0,36.666666666666664,44.5,28.0,26.0,Male
2012,5422,2344.0,332,5,1994,1,1066,5.0,43.75,28.0,30.0,28.0,Male
1937,4246,2084.0,817,2,2011,3,225,4.0,42.0,26.5,33.0,26.0,Male
5228,18864,7260.0,3668,9,2001,4,6376,17.0,54.625,40.0,42.0,41.0,Male
3288,12592,6644.0,3356,4,2001,1,2660,411.0,42.333333333333336,29.0,38.0,29.0,Male
1141,7446,2309.0,1689,8,2007,3,3996,405.0,50.857142857142854,35.333333333333336,44.0,35.0,Male
4728,27072,11020.0,7930,5,2004,5,11324,100.0,38.2,37.25,44.0,43.0,Male
5916,20260,8686.0,3230,10,1998,2,5658,75.0,43.5,36.0,44.0,40.0,Male
9172,25458,10520.0,6394,11,2002,7,5766,14.0,45.25,28.6,62.0,43.0,Male
0,5171,3108.0,2315,3,1992,1,2063,100.0,38.333333333333336,30.0,30.0,31.0,Female
1789,19960,6384.0,1364,8,1993,4,11787,13.0,38.25,35.0,49.0,25.0,Female
1686,10456,4994.0,3506,5,1999,2,3776,503.0,26.0,27.0,44.0,27.0,Male
2277,7350,2797.0,2143,5,1993,6,2276,266.0,33.0,33.166666666666664,37.0,31.0,Male
3058,12470,6494.0,4418,7,1999,2,2918,172.0,43.285714285714285,30.0,36.0,19.0,Male
4176,28970,6298.0,3708,14,1996,6,18496,48.0,40.7,27.5,41.0,34.0,Male
1068,17460,6210.0,5296,11,2008,2,10182,170.0,36.0,24.0,52.0,24.0,Male
5894,15440,4266.0,1545,15,2012,6,5280,169.0,45.166666666666664,35.333333333333336,29.0,22.0,Male
1816,20670,6083.0,5205,15,2010,4,12771,106.0,39.61538461538461,29.5,27.0,25.0,Male
1412,9480,1918.0,44,8,1998,4,6150,27.0,36.42857142857143,33.0,33.0,54.0,Female
5248,14376,4854.0,1956,8,1987,5,4274,22.0,35.285714285714285,39.5,38.0,31.0,Male
3212,13947,7621.0,4409,5,2011,1,3114,60.0,34.75,38.0,31.0,38.0,Male
6206,24656,7610.0,1822,5,1998,2,10840,68.0,49.4,40.0,61.0,40.0,Male
7372,14751,2571.0,102,5,1985,6,4808,92.0,33.25,24.4,23.0,23.0,Male
1688,10129,3181.0,1620,10,2005,2,5260,515.0,49.375,26.0,34.0,24.0,Male
1025,9001,2024.0,999,11,1980,1,5952,937.0,43.2,24.0,38.0,24.0,Male
1788,9041,2339.0,1621,15,1999,3,4914,813.0,47.15384615384615,25.666666666666668,47.0,18.0,Male
10688,27600,11634.0,7964,4,1998,5,5278,168.0,34.666666666666664,49.666666666666664,52.0,48.0,Female
3594,12714,2892.0,1596,11,2001,7,6228,1.0,28.857142857142858,34.333333333333336,34.0,29.0,Male
6314,21228,9736.0,5734,8,1995,5,5178,15.0,40.0,29.0,33.0,37.0,Male
5076,16770,4938.0,2014,9,2008,5,6756,14.0,47.714285714285715,43.75,34.0,74.0,Female
166,7939,2029.0,1863,11,2011,1,5744,139.0,33.5,20.0,14.0,20.0,Male
774,12276,4871.0,4097,7,2007,1,6631,153.0,27.142857142857142,19.0,24.0,19.0,Male
2472,10482,3228.0,1076,4,1984,5,4782,35.0,45.5,35.0,43.0,28.0,Female
3215,12471,5308.0,3201,12,2009,3,3948,44.0,34.666666666666664,33.0,31.0,36.0,Male
1806,7180,3390.0,2312,5,2004,4,1984,12.0,40.0,42.333333333333336,36.0,37.0,Male
8732,17940,5686.0,1472,6,1997,6,3522,8.0,41.6,35.5,66.0,18.0,Male
1840,18118,7994.0,7382,5,1996,6,8284,8.0,28.0,26.333333333333332,30.0,26.0,Male
1004,5713,2765.0,2058,3,2001,3,1944,107.0,38.0,25.0,47.0,35.0,Male
1189,17147,1934.0,1486,26,2005,3,14024,68.0,46.88235294117647,33.0,44.0,33.0,Male
4046,11812,5744.0,2696,7,2011,6,2022,1.0,44.333333333333336,43.0,37.0,34.0,Male
4432,21436,8446.0,5560,7,1999,4,8558,139.0,36.857142857142854,33.25,29.0,27.0,Male
9568,16854,3228.0,324,4,2010,10,4058,0.0,50.0,35.375,57.0,44.0,Male
2415,12248,3974.0,1971,8,2012,4,5859,239.0,49.57142857142857,30.0,41.0,29.0,Male
456,9000,3710.0,738,8,1984,2,4834,99.0,39.5,27.0,28.0,28.0,Female
1661,3963,1424.0,652,4,2009,4,878,145.0,29.333333333333332,35.0,33.0,34.0,Male
4943,13820,4763.0,3067,5,1991,4,4114,93.0,38.2,39.0,35.0,52.0,Female
6930,23008,5170.0,482,9,1998,7,10908,326.0,44.666666666666664,38.0,34.0,26.0,Male
9260,19556,5968.0,145,8,2012,9,4328,73.0,46.25,30.571428571428573,43.0,40.0,Male
5413,20597,4048.0,1056,11,2011,4,11136,198.0,44.666666666666664,34.75,28.0,30.0,Male
271,8220,2511.0,2367,8,1999,2,5438,103.0,31.75,22.0,38.0,24.0,Male
1196,7482,1482.0,702,8,1993,3,4804,113.0,35.57142857142857,28.5,23.0,34.0,Male
1466,6359,1146.0,419,9,2004,3,3747,9.0,36.5,24.333333333333332,49.0,24.0,Male
565,8789,2756.0,2191,13,2011,1,5468,26.0,47.84615384615385,47.0,53.0,47.0,Male
5472,17472,5306.0,2722,8,1990,6,6694,2.0,62.333333333333336,47.666666666666664,44.0,49.0,Male
520,6644,2242.0,1894,15,1993,2,3882,118.0,46.42857142857143,35.0,42.0,37.0,Male
104,3710,1961.0,1857,7,2001,1,1645,117.0,42.142857142857146,22.0,31.0,22.0,Male
1138,10874,4762.0,4190,7,1996,4,4974,32.0,27.666666666666668,25.5,25.0,20.0,Male
2874,14606,5344.0,3404,8,1990,4,6388,34.0,49.0,40.5,48.0,30.0,Male
672,9476,2802.0,156,6,2006,2,6002,19.0,37.6,30.0,26.0,39.0,Female
4116,26304,5232.0,3666,17,2004,4,16956,186.0,44.3125,37.0,36.0,28.0,Male
5678,15732,5696.0,2378,6,1994,4,4358,303.0,47.2,25.666666666666668,47.0,36.0,Male
226,23842,11662.0,11436,15,1993,1,11954,25.0,36.46666666666667,50.0,24.0,50.0,Male
1806,14178,4934.0,1254,10,2008,6,7438,231.0,29.11111111111111,24.666666666666668,18.0,22.0,Female
864,7648,2898.0,2458,8,1988,2,3886,237.0,44.166666666666664,29.0,44.0,32.0,Male
2682,14546,9028.0,6346,9,2005,1,2836,31.0,45.625,51.0,36.0,51.0,Male
8526,32538,10878.0,3848,8,1997,4,13134,12.0,44.625,32.5,37.0,28.0,Male
786,8754,5734.0,5349,8,2009,3,2234,103.0,41.857142857142854,37.0,40.0,32.0,Male
434,12146,4266.0,824,7,1983,2,7446,15.0,41.0,34.0,38.0,42.0,Female
3411,10606,5877.0,3333,4,2009,4,1318,97.0,36.5,30.333333333333332,48.0,24.0,Male
3110,8026,1377.0,13,9,2010,8,3539,121.0,37.22222222222222,41.857142857142854,32.0,38.0,Male
200,15316,5208.0,5008,18,2008,1,9908,100.0,49.166666666666664,32.0,46.0,32.0,Male
1376,20814,9462.0,8436,8,1982,2,9976,159.0,57.5,33.0,57.0,36.0,Male
1317,2987,1372.0,1074,1,1958,3,298,29.0,70.0,32.0,25.0,70.0,Female
5084,16266,5064.0,2302,7,2007,4,6118,11.0,45.0,51.666666666666664,60.0,47.0,Male
4728,22758,7838.0,4518,17,1997,8,10192,81.0,52.857142857142854,36.75,54.0,28.0,Male
3290,19578,8746.0,6536,13,1987,5,7542,97.0,48.583333333333336,27.5,43.0,27.0,Male
677,8562,1902.0,1366,11,2011,2,5983,15.0,46.625,32.0,44.0,32.0,Male
696,12572,3244.0,2548,10,2010,1,8632,2.0,39.0,16.0,32.0,16.0,Male
1881,8619,3705.0,2974,10,2010,8,3033,1.0,44.0,47.5,40.0,49.0,Female
3958,30788,9884.0,1834,12,1990,5,16946,30.0,49.2,37.6,23.0,26.0,Female
1510,17823,6372.0,5654,9,2007,3,9941,212.0,50.111111111111114,40.0,54.0,39.0,Male
8200,18396,3916.0,1550,8,1998,7,6280,55.0,42.333333333333336,33.5,34.0,29.0,Male
1448,10470,5442.0,4176,3,1999,2,3580,195.0,51.666666666666664,33.0,52.0,33.0,Male
3454,11806,4166.0,2784,7,1988,5,4186,121.0,36.285714285714285,53.333333333333336,18.0,79.0,Male
1431,16839,11718.0,10437,12,2013,2,3690,125.0,42.0,25.5,39.0,23.0,Male
3404,21864,10402.0,8284,6,2000,2,8058,31.0,43.833333333333336,32.5,56.0,43.0,Male
3918,10944,3788.0,830,6,1999,2,3238,217.0,51.333333333333336,30.5,46.0,33.0,Male
3392,10346,5220.0,2956,8,2008,2,1734,31.0,44.2,32.5,56.0,44.0,Male
246,4421,1432.0,1299,5,2000,2,2743,253.0,51.0,26.0,61.0,34.0,Male
6128,24012,9612.0,6554,10,2008,11,8272,118.0,36.6,27.666666666666668,46.0,28.0,Male
8564,21806,8422.0,276,5,2000,3,4820,14.0,34.0,27.0,33.0,36.0,Male
3664,26362,9450.0,1178,7,1998,5,13248,215.0,46.57142857142857,41.8,37.0,42.0,Female
10582,33636,14794.0,8124,11,2009,6,8260,17.0,38.111111111111114,38.2,21.0,21.0,Male
1277,12750,3787.0,1131,17,2012,3,7686,104.0,45.25,35.666666666666664,35.0,43.0,Female
2209,4950,2237.0,1175,3,2011,4,504,38.0,53.0,41.25,29.0,26.0,Male
2023,5313,1666.0,648,5,2001,3,1624,64.0,39.25,31.0,31.0,36.0,Male
487,7960,3741.0,3375,11,1992,2,3732,15.0,45.09090909090909,40.0,44.0,43.0,Male
404,2273,1170.0,815,3,2000,4,699,59.0,38.666666666666664,42.5,36.0,31.0,Female
2414,8670,3282.0,2129,7,2009,5,2974,18.0,27.25,34.4,26.0,19.0,Male
1659,8751,4760.0,3947,7,1990,3,2332,44.0,35.714285714285715,23.333333333333332,33.0,20.0,Male
713,3358,762.0,101,5,2010,4,1883,368.0,44.4,51.25,44.0,47.0,Female
0,3598,712.0,34,7,1997,1,2886,90.0,44.857142857142854,48.0,48.0,51.0,Female
1287,9063,3703.0,2416,6,1997,1,4073,50.0,36.333333333333336,28.0,27.0,28.0,Male
1911,8560,1451.0,90,11,2010,3,5198,1.0,35.833333333333336,63.0,43.0,63.0,Male
2183,4923,1202.0,287,5,2007,6,1538,64.0,28.8,39.833333333333336,28.0,22.0,Male
1082,7825,3444.0,2932,5,1990,3,3299,180.0,43.0,31.0,29.0,37.0,Male
1923,7629,1525.0,597,11,2010,4,4181,8.0,54.0,36.0,31.0,35.0,Female
816,4071,2547.0,1953,2,1988,4,708,120.0,45.0,32.0,40.0,43.0,Female
1819,8199,4718.0,3445,8,2007,4,1662,160.0,55.5,49.75,53.0,38.0,Male
4198,9770,1806.0,622,6,1988,6,3766,155.0,51.5,37.2,32.0,42.0,Female
1301,6701,1812.0,511,9,2002,1,3588,0.0,35.666666666666664,34.0,24.0,34.0,Male
1433,4832,1272.0,358,8,2007,3,2127,103.0,54.714285714285715,33.666666666666664,70.0,32.0,Male
299,5820,3858.0,3698,6,1986,2,1663,41.0,37.0,38.0,32.0,45.0,Male
1339,6043,1590.0,878,9,2004,2,3114,73.0,42.875,30.5,28.0,25.0,Male
2694,7470,3907.0,1612,6,2010,4,869,10.0,45.666666666666664,18.0,30.0,30.0,Male
0,9231,2397.0,1315,18,2009,1,6834,11.0,52.77777777777778,37.0,37.0,39.0,Female
345,5009,2107.0,311,5,2007,3,2557,46.0,37.5,43.5,45.0,38.0,Female
833,8747,3406.0,814,3,2009,3,4508,5.0,27.0,35.0,27.0,29.0,Female
3002,6567,2062.0,600,6,2009,5,1503,33.0,40.0,24.0,29.0,28.0,Male
965,6197,4835.0,4202,3,2007,3,397,118.0,51.666666666666664,44.666666666666664,70.0,61.0,Male
258,4019,2917.0,2456,4,2006,3,844,10.0,37.333333333333336,37.0,37.0,38.0,Female
2213,7495,2436.0,1500,5,2006,4,2846,46.0,43.4,43.0,42.0,58.0,Male
245,6390,2523.0,2278,7,1999,1,3622,19.0,39.4,53.0,29.0,53.0,Male
3117,6341,1244.0,282,6,2000,5,1980,115.0,50.25,45.0,47.0,36.0,Male
1831,11116,2997.0,1781,10,1996,3,6288,39.0,50.333333333333336,32.0,56.0,32.0,Male
2767,6206,2234.0,842,4,2009,3,1205,7.0,42.0,35.666666666666664,53.0,38.0,Male
365,5271,2716.0,2391,12,1994,2,2190,191.0,38.111111111111114,39.0,48.0,48.0,Female
744,9104,3816.0,215,5,1980,2,4544,258.0,38.25,30.0,31.0,34.0,Female
1120,4769,1355.0,707,9,2010,4,2294,4.0,53.42857142857143,45.666666666666664,64.0,39.0,Male
2672,7878,3647.0,975,6,1997,1,1559,144.0,53.75,30.0,41.0,30.0,Male
1158,6596,3272.0,1967,6,2010,7,2166,7.0,41.5,39.166666666666664,36.0,42.0,Female
307,10043,4024.0,3827,9,2010,2,5712,49.0,40.833333333333336,55.0,55.0,55.0,Male
556,9582,2878.0,2478,9,1999,2,6148,26.0,43.142857142857146,44.5,44.0,43.0,Male
2552,9429,1228.0,619,12,2004,9,5649,76.0,38.833333333333336,32.142857142857146,40.0,32.0,Male
755,3536,1829.0,1074,4,2010,1,952,43.0,40.333333333333336,37.0,42.0,37.0,Male
0,4556,1537.0,813,9,2009,1,3019,45.0,56.25,32.0,32.0,33.0,Female
1138,7193,3966.0,2950,8,2013,2,2089,29.0,45.4,41.0,44.0,41.0,Male
1174,6978,3500.0,2432,6,1993,2,2304,133.0,48.6,40.0,46.0,44.0,Male
665,4563,1360.0,695,8,2009,1,2538,34.0,45.2,37.0,39.0,37.0,Male
979,4555,2465.0,2036,4,2010,4,1111,277.0,38.25,43.0,48.0,17.0,Male
2164,7074,2169.0,1175,5,2006,4,2741,166.0,38.4,37.0,57.0,46.0,Female
1823,10235,4122.0,2840,11,2005,7,4290,13.0,45.42857142857143,33.857142857142854,20.0,53.0,Female
938,6965,3045.0,1850,4,2008,2,2982,16.0,41.25,42.5,23.0,30.0,Female
2043,5612,1991.0,1517,6,2003,3,1578,13.0,50.0,46.666666666666664,28.0,49.0,Female
701,10827,5080.0,4672,10,2010,2,5046,47.0,48.875,29.0,54.0,29.0,Male
1262,3524,1220.0,434,4,2006,2,1042,49.0,46.666666666666664,24.0,41.0,12.0,Male
1152,6650,2104.0,1573,7,2003,3,3394,249.0,47.0,38.333333333333336,63.0,50.0,Male
1604,14678,7415.0,4201,7,2000,6,5659,203.0,42.833333333333336,39.0,33.0,64.0,Female
6765,19338,6837.0,4214,5,1982,6,5736,13.0,55.4,44.666666666666664,61.0,48.0,Male
565,6266,2200.0,680,7,1973,3,3501,195.0,42.833333333333336,28.0,41.0,34.0,Female
727,6214,1612.0,1106,10,2010,2,3875,113.0,49.44444444444444,34.0,43.0,28.0,Male
2802,6027,1595.0,694,4,1998,7,1630,74.0,26.333333333333332,27.833333333333332,18.0,23.0,Female
1672,5106,1399.0,493,5,2002,4,2035,23.0,40.4,42.0,48.0,43.0,Male
864,9566,3589.0,2911,9,2013,2,5113,3.0,41.375,47.0,37.0,49.0,Male
824,6222,2907.0,2211,5,1991,2,2491,86.0,38.8,31.5,42.0,34.0,Male
499,4496,2192.0,903,2,2005,4,1805,121.0,34.0,24.333333333333332,43.0,34.0,Female
7715,11233,1938.0,1497,5,2010,9,1580,41.0,45.2,43.22222222222222,61.0,36.0,Female
1333,6197,2111.0,1253,7,1994,4,2753,45.0,48.857142857142854,31.5,34.0,28.0,Male
1501,4268,873.0,164,5,1982,6,1894,107.0,19.0,23.0,23.0,19.0,Female
2105,5157,1236.0,306,8,1986,6,1816,44.0,35.42857142857143,25.5,38.0,22.0,Male
397,2096,551.0,261,5,1993,2,1148,33.0,37.5,37.0,58.0,43.0,Male
6206,10518,2590.0,1823,6,1991,9,1722,165.0,40.0,48.22222222222222,25.0,32.0,Female
832,1672,840.0,202,1,2005,2,0,149.0,43.0,39.0,43.0,39.0,Male
1493,8641,2638.0,1342,9,1999,2,4510,122.0,36.666666666666664,38.5,46.0,50.0,Male
675,7486,4881.0,4641,5,1997,3,1930,91.0,49.2,51.5,53.0,66.0,Male
2419,10950,4338.0,2324,11,1999,3,4193,176.0,47.57142857142857,34.5,45.0,41.0,Male
1154,7091,4782.0,3967,3,2010,2,1155,67.0,38.0,29.5,35.0,28.0,Male
962,12645,2812.0,2313,15,1972,3,8871,690.0,43.266666666666666,31.333333333333332,32.0,26.0,Male
2346,16793,5163.0,4191,16,1974,5,9284,266.0,40.666666666666664,29.75,34.0,28.0,Male
2850,13906,7899.0,5528,7,1990,4,3157,96.0,46.6,28.333333333333332,36.0,36.0,Male
750,7421,2472.0,1722,12,2010,1,4199,38.0,42.6,42.0,40.0,42.0,Male
572,3677,1278.0,472,5,2007,3,1827,73.0,43.75,23.0,18.0,64.0,Female
783,3296,858.0,182,5,1988,5,1655,37.0,54.4,19.666666666666668,25.0,44.0,Female
1774,3788,854.0,220,5,2002,4,1160,45.0,24.6,24.25,30.0,25.0,Male
661,3053,1040.0,379,5,1990,1,1352,11.0,38.2,26.0,29.0,26.0,Male
2015,12708,2884.0,1633,10,2009,4,7809,350.0,42.22222222222222,19.25,20.0,19.0,Male
2673,10804,3976.0,1717,11,1988,6,4155,2.0,30.88888888888889,27.2,17.0,19.0,Female
1786,4672,2011.0,929,3,2008,4,875,2.0,51.333333333333336,34.333333333333336,37.0,52.0,Male
5216,10118,4241.0,566,4,2013,5,661,27.0,38.666666666666664,33.0,39.0,29.0,Male
1261,8174,2543.0,944,12,1992,4,4370,40.0,37.5,28.5,36.0,36.0,Female
589,4073,1789.0,1331,6,2012,3,1695,6.0,53.166666666666664,45.666666666666664,67.0,50.0,Female
829,7158,2339.0,1510,7,2003,1,3990,97.0,30.4,54.0,17.0,54.0,Male
1733,6833,1501.0,371,6,1987,5,3599,22.0,47.8,34.666666666666664,46.0,37.0,Female
1793,12030,8538.0,7665,5,2007,3,1699,17.0,38.75,44.5,29.0,31.0,Male
1816,6097,2037.0,471,3,1999,2,2244,69.0,35.0,24.5,48.0,23.0,Male
1175,11918,4004.0,285,4,2010,4,6739,33.0,53.0,35.0,34.0,41.0,Female
1207,6077,1486.0,701,10,1981,4,3384,56.0,51.125,32.5,33.0,59.0,Female
2062,6199,1381.0,416,7,2003,8,2756,7.0,47.666666666666664,41.142857142857146,36.0,53.0,Female
2709,8482,4969.0,2402,4,2007,2,804,15.0,49.25,27.5,42.0,30.0,Male
1027,4167,970.0,116,6,2003,2,2170,74.0,39.333333333333336,28.5,37.0,31.0,Male
1400,8229,3943.0,2829,8,2006,3,2886,0.0,39.75,34.0,35.0,34.0,Male
5072,9791,3097.0,2231,4,2005,5,1622,44.0,54.5,55.6,33.0,34.0,Female
2507,7933,2618.0,491,14,2007,3,2808,8.0,39.583333333333336,49.333333333333336,61.0,32.0,Male
649,12004,8058.0,7523,9,2009,2,3297,38.0,43.5,40.0,39.0,32.0,Male
2050,14698,3863.0,2365,16,2009,3,8785,140.0,40.733333333333334,26.0,53.0,26.0,Male
1613,8565,4191.0,3622,8,2010,4,2761,7.0,39.833333333333336,32.25,18.0,19.0,Male
2881,5292,2179.0,544,2,2010,2,232,0.0,43.5,41.5,43.0,42.0,Male
1953,5357,1935.0,376,3,1983,2,1469,116.0,27.333333333333332,26.0,29.0,30.0,Male
2451,8081,1918.0,286,6,1987,4,3712,46.0,33.4,39.25,27.0,50.0,Male
1157,5705,1132.0,802,10,2003,4,3416,50.0,30.571428571428573,30.25,25.0,46.0,Male
1596,7462,1659.0,352,7,1997,2,4207,434.0,47.0,25.0,45.0,37.0,Male
1121,7369,2518.0,1531,6,1984,2,3730,235.0,38.166666666666664,37.0,23.0,37.0,Male
476,4155,1821.0,1615,7,2013,3,1858,1.0,50.166666666666664,37.5,27.0,51.0,Male
2702,8746,3246.0,915,9,1992,3,2798,1.0,44.5,19.0,35.0,27.0,Male
1338,8581,3782.0,2941,11,2001,3,3461,77.0,44.888888888888886,45.0,42.0,32.0,Male
1878,9986,5336.0,3808,7,1979,2,2772,367.0,50.714285714285715,30.5,42.0,30.0,Male
1696,7923,2273.0,1180,6,2013,5,3954,14.0,45.6,31.0,45.0,14.0,Male
2320,12940,6455.0,4135,7,2004,1,4165,55.0,40.666666666666664,69.0,48.0,69.0,Male
1378,10936,3136.0,1758,12,1992,1,6422,151.0,40.22222222222222,34.0,35.0,34.0,Male
731,3353,1516.0,1150,7,1988,3,1106,17.0,49.285714285714285,44.5,49.0,40.0,Male
2299,12056,4388.0,2924,7,1985,3,5369,37.0,34.333333333333336,21.5,23.0,18.0,Male
2155,5400,2931.0,776,2,1994,1,314,67.0,44.5,13.0,53.0,13.0,Male
1923,6630,3155.0,2181,2,2010,3,1552,58.0,41.0,45.0,25.0,32.0,Female
2891,5705,1552.0,597,5,2006,8,1262,7.0,45.2,39.42857142857143,33.0,31.0,Male
2852,8187,2638.0,691,6,2006,3,2697,79.0,50.5,22.0,43.0,34.0,Male
760,5605,3245.0,2862,4,1976,3,1600,102.0,39.25,29.0,34.0,24.0,Male
1193,11486,4993.0,4468,9,2007,5,5300,5.0,30.25,23.75,26.0,31.0,Male
1852,5832,1629.0,433,4,2003,3,2351,30.0,49.25,38.333333333333336,35.0,32.0,Male
685,4951,1965.0,1662,4,2012,3,2301,233.0,43.25,50.333333333333336,38.0,30.0,Male
1733,7164,1686.0,519,7,1987,2,3745,71.0,28.714285714285715,30.5,16.0,39.0,Male
859,3542,826.0,302,7,1997,3,1857,7.0,46.714285714285715,28.666666666666668,22.0,29.0,Male
2303,5875,2122.0,305,6,2000,3,1450,27.0,51.0,36.333333333333336,30.0,29.0,Male
3495,8954,2899.0,2241,9,2010,8,2560,1.0,49.285714285714285,39.0,34.0,55.0,Female
1856,7181,2690.0,2142,9,2004,7,2635,9.0,57.0,27.5,23.0,57.0,Female
693,5753,1348.0,1022,14,1996,3,3712,74.0,45.0,31.0,59.0,31.0,Male
1973,8614,4898.0,3636,4,1994,2,1743,212.0,51.0,40.5,38.0,32.0,Male
3692,7479,2798.0,2174,2,2004,7,989,120.0,34.5,24.857142857142858,18.0,26.0,Female
2595,5539,1258.0,431,4,2005,5,1686,77.0,49.5,39.2,26.0,46.0,Female
103,7267,1626.0,1523,11,1990,1,5538,56.0,29.09090909090909,26.0,31.0,26.0,Male
902,7440,2670.0,1768,10,2007,1,3868,61.0,47.666666666666664,47.0,46.0,47.0,Male
197,6581,1811.0,66,9,1998,2,4573,93.0,45.285714285714285,33.0,23.0,43.0,Female
1569,5129,727.0,43,12,1995,4,2833,75.0,30.454545454545453,29.75,52.0,28.0,Male
2088,12393,5176.0,1324,3,1996,4,5129,81.0,55.0,49.5,54.0,47.0,Female
5776,9221,1889.0,1176,4,2009,12,1556,1.0,60.25,37.416666666666664,51.0,61.0,Female
2182,8783,4630.0,2985,6,2002,4,1971,52.0,50.6,43.25,53.0,38.0,Male
627,3484,1851.0,1156,2,1996,4,1006,19.0,41.5,48.75,62.0,27.0,Female
3499,6292,1509.0,139,3,2008,4,1284,123.0,43.0,43.5,40.0,41.0,Male
1655,10085,3398.0,2126,12,1994,5,5032,34.0,43.90909090909091,31.5,14.0,42.0,Female
917,4319,1586.0,669,7,1991,1,1816,179.0,49.833333333333336,46.0,65.0,46.0,Male
339,2263,573.0,153,4,1987,3,1351,7.0,33.25,20.666666666666668,25.0,32.0,Female
2195,8330,2729.0,1200,8,2013,3,3406,18.0,60.666666666666664,81.33333333333333,43.0,84.0,Male
2956,6315,1927.0,715,2,2010,5,1432,2.0,27.0,37.0,25.0,27.0,Female
1139,5706,2987.0,2355,4,1994,4,1580,37.0,42.25,37.0,30.0,8.0,Female
1101,2879,659.0,11,5,1988,3,1119,104.0,25.75,18.0,20.0,19.0,Male
1611,4031,1072.0,308,5,1989,4,1348,48.0,28.4,31.0,29.0,23.0,Male
3206,7023,1660.0,205,8,1987,6,2157,99.0,29.125,31.833333333333332,33.0,23.0,Male
709,1368,529.0,148,2,1980,2,130,333.0,56.0,42.0,48.0,41.0,Male
2122,25432,14086.0,12921,21,1995,6,9224,27.0,51.05555555555556,39.5,58.0,39.0,Male
